City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
105,Taree,AU,73.33,broken clouds,-31.9,152.4667,All Seasons Country Lodge Taree
107,Salalah,OM,76.57,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
110,Port Elizabeth,ZA,71.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
117,Aurangabad,IN,75.29,haze,19.8833,75.3333,OYO Rooms 012 Kushal Nagar
121,Gigmoto,PH,79.11,overcast clouds,13.7796,124.39,Cj's Travellers Inn
123,Pandan,PH,78.44,light rain,14.0453,124.1694,Bonifacio Lodge
127,Tres Lagoas,BR,72.28,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
128,Hermanus,ZA,72.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
136,Porbandar,IN,76.98,clear sky,21.6422,69.6093,Lords Inn Porbandar
139,Ahipara,NZ,71.29,light rain,-35.1667,173.1667,Ahipara Holiday Park
140,Richards Bay,ZA,71.74,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
141,Port Lincoln,AU,75.04,clear sky,-34.7333,135.8667,Port Lincoln Hotel
144,Impfondo,CG,77.76,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
151,Sao Joao Da Barra,BR,74.59,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
156,Dalby,AU,77.7,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
157,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
159,Itarema,BR,76.82,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
161,Ipixuna,BR,75.15,light rain,-1.7625,-48.8043,Casa da Oscarina
168,Ambilobe,MG,79.54,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
179,Murwara,IN,72.72,clear sky,23.85,80.4,HOTEL BRIJWASI ROYAL
195,Buchanan,LR,75.16,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
198,Kaeo,NZ,73.33,overcast clouds,-35.1,173.7833,Bushido Lodge
199,Djambala,CG,71.44,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
206,Mount Gambier,AU,76.91,broken clouds,-37.8333,140.7667,The Commodore
207,San Cosme Y Damian,PY,77.18,overcast clouds,-27.3167,-56.35,Posada Turística Aguapey
