City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
41,Kawalu,ID,2022-02-04 15:19:01,-7.3817,108.2082,73.54,95,91,1.1
42,Ushuaia,AR,2022-02-04 15:19:01,-54.8,-68.3,49.66,50,0,17.27
43,Batagay,RU,2022-02-04 15:19:02,67.6333,134.6333,-38.74,99,35,2.71
44,Nikolskoye,RU,2022-02-04 15:19:02,59.7035,30.7861,19.29,97,83,6.42
45,Iqaluit,CA,2022-02-04 15:20:02,63.7506,-68.5145,-13.27,53,100,9.22
46,Yerbogachen,RU,2022-02-04 15:20:03,61.2767,108.0108,-16.74,100,83,3.18
47,Butaritari,KI,2022-02-04 15:20:04,3.0707,172.7902,81.93,76,12,16.31
48,Kapaa,US,2022-02-04 15:20:05,22.0752,-159.319,66.18,88,0,6.91
49,Tomatlan,MX,2022-02-04 15:20:05,19.9333,-105.25,71.13,50,64,1.52
50,Novyye Burasy,RU,2022-02-04 15:20:06,52.1324,46.0714,32.76,99,100,4.9
51,Gimli,CA,2022-02-04 15:20:06,50.6336,-96.9907,-14.87,76,82,8.05
52,Jamestown,US,2022-02-04 15:17:15,42.097,-79.2353,20.52,62,100,4.0
53,Qaanaaq,GL,2022-02-04 15:20:07,77.484,-69.3632,-7.49,60,100,8.86
54,Port Augusta,AU,2022-02-04 15:19:19,-32.5,137.7667,71.38,41,45,6.67
55,Bredasdorp,ZA,2022-02-04 15:20:07,-34.5322,20.0403,71.28,46,43,14.97
56,New Norfolk,AU,2022-02-04 15:20:08,-42.7826,147.0587,58.91,72,79,1.48
57,Sambava,MG,2022-02-04 15:20:08,-14.2667,50.1667,82.29,75,100,4.23
58,Cockburn Town,TC,2022-02-04 15:16:15,21.4612,-71.1419,75.92,71,0,19.77
59,Cherskiy,RU,2022-02-04 15:20:09,68.75,161.3,-34.46,99,8,3.67
60,Seminole,US,2022-02-04 15:18:44,28.7086,-81.2081,78.08,78,0,1.01
61,Avarua,CK,2022-02-04 15:20:09,-21.2078,-159.775,77.05,83,100,5.75
62,Ilulissat,GL,2022-02-04 15:20:09,69.2167,-51.1,12.22,67,75,23.02
63,Faanui,PF,2022-02-04 15:20:10,-16.4833,-151.75,80.64,72,20,12.62
64,Bluff,NZ,2022-02-04 15:20:10,-46.6,168.3333,49.8,70,73,12.66
65,Sumbe,AO,2022-02-04 15:20:10,-11.2061,13.8437,79.84,66,58,9.89
66,Busselton,AU,2022-02-04 15:17:42,-33.65,115.3333,74.08,75,0,7.4
67,Cidreira,BR,2022-02-04 15:20:10,-30.1811,-50.2056,78.13,73,100,1.52
68,Boende,CD,2022-02-04 15:20:11,-0.2167,20.8667,96.06,23,93,2.95
69,Jeremie,HT,2022-02-04 15:20:11,18.65,-74.1167,78.91,73,70,13.53
70,Puerto Princesa,PH,2022-02-04 15:16:25,9.7392,118.7353,78.06,86,74,14.43
71,Mataram,ID,2022-02-04 15:20:11,-8.5833,116.1167,77.81,81,95,2.13
72,Batagay-Alyta,RU,2022-02-04 15:20:12,67.8006,130.4114,-27.26,99,11,3.4
73,Hamilton,US,2022-02-04 15:20:12,39.1834,-84.5333,22.03,89,100,1.99
74,Ternate,ID,2022-02-04 15:20:12,0.8,127.4,80.37,79,69,3.94
75,Atuona,PF,2022-02-04 15:20:13,-9.8,-139.0333,78.22,73,14,17.2
76,Praia Da Vitoria,PT,2022-02-04 15:20:13,38.7333,-27.0667,61.75,100,75,10.54
77,Mahebourg,MU,2022-02-04 15:20:13,-20.4081,57.7,80.26,94,75,17.27
