City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Svetlogorsk,BY,52.6333,29.7333,21.96,95,100,12.73,light snow
132,Faanui,PF,-16.4833,-151.75,80.94,73,82,14.65,light rain
133,Tiznit,MA,29.5833,-9.5,61.39,30,100,2.84,overcast clouds
134,Gizo,SB,-8.103,156.8419,85.12,71,82,7.87,broken clouds
135,Castro,BR,-24.7911,-50.0119,65.43,98,100,4.65,overcast clouds
136,Porbandar,IN,21.6422,69.6093,76.98,47,0,4.61,clear sky
137,Wieliczka,PL,49.9874,20.0647,39.94,71,85,11.99,overcast clouds
138,La Rioja,ES,42.25,-2.5,37.18,93,99,4.94,overcast clouds
139,Ahipara,NZ,-35.1667,173.1667,71.29,97,100,10.18,light rain
140,Richards Bay,ZA,-28.783,32.0377,71.74,88,100,11.14,light rain
141,Port Lincoln,AU,-34.7333,135.8667,75.04,49,4,11.56,clear sky
142,Ayan,RU,56.45,138.1667,-0.89,69,100,14.9,overcast clouds
143,Henties Bay,NA,-22.116,14.2845,66.85,80,39,4.85,scattered clouds
144,Impfondo,CG,1.6381,18.0667,77.76,29,100,3.22,overcast clouds
145,Longyearbyen,SJ,78.2186,15.6401,12.04,57,20,24.16,few clouds
146,Beeville,US,28.4008,-97.7483,35.15,74,0,4.61,clear sky
147,Nemuro,JP,43.3236,145.575,25.23,62,100,15.99,overcast clouds
148,Ixtapa,MX,20.7,-105.2,64.36,78,0,1.83,clear sky
149,Kerman,IR,30.2832,57.0788,58.86,38,75,0.0,broken clouds
150,Hasaki,JP,35.7333,140.8333,45.28,30,99,15.14,overcast clouds
151,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.59,91,96,13.13,overcast clouds
152,Hualmay,PE,-11.0964,-77.6139,69.46,85,100,7.63,overcast clouds
153,Bintulu,MY,3.1667,113.0333,90.01,70,20,6.91,few clouds
154,Shizunai,JP,42.3339,142.3669,27.86,59,23,10.04,few clouds
155,Boma,GH,7.0805,-2.1697,68.56,89,7,1.34,clear sky
156,Dalby,AU,-27.1833,151.2667,77.7,39,71,19.48,broken clouds
157,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,46,1.99,scattered clouds
158,Barguzin,RU,53.6167,109.6167,11.5,89,100,2.55,overcast clouds
159,Itarema,BR,-2.9248,-39.9167,76.82,87,51,8.46,broken clouds
160,Jacksonville,US,30.3322,-81.6556,63.09,89,100,1.01,overcast clouds
161,Ipixuna,BR,-1.7625,-48.8043,75.15,99,100,3.36,light rain
162,Lyubim,RU,58.3625,40.6843,6.01,96,96,3.36,overcast clouds
163,Te Anau,NZ,-45.4167,167.7167,57.76,58,1,6.62,clear sky
164,Codrington,AU,-38.2667,141.9667,67.82,63,100,22.82,overcast clouds
165,Lazaro Cardenas,MX,17.9583,-102.2,69.58,87,0,4.61,clear sky
166,Viedma,AR,-40.8135,-62.9967,59.95,71,100,18.81,overcast clouds
167,Floro,NO,61.5996,5.0328,35.96,80,40,16.11,scattered clouds
168,Ambilobe,MG,-13.2,49.05,79.54,87,100,13.91,light rain
169,Akdepe,TM,42.0551,59.3788,42.89,44,100,4.63,overcast clouds
170,Srednekolymsk,RU,67.45,153.6833,-34.71,100,71,1.52,broken clouds
171,Yibin,CN,28.7667,104.6238,47.43,79,100,2.51,overcast clouds
172,Oum Hadjer,TD,13.2954,19.6966,64.8,22,1,14.76,clear sky
173,Little Elm,US,33.1626,-96.9375,26.58,84,5,4.97,clear sky
174,Kargasok,RU,59.0556,80.8572,24.48,93,100,10.58,light snow
175,Hobart,AU,-42.8794,147.3294,69.26,65,75,9.22,broken clouds
176,Severo-Kurilsk,RU,50.6789,156.125,29.34,90,100,10.96,light snow
177,Kodinsk,RU,58.6881,99.1844,21.9,93,100,7.72,light snow
178,Taoudenni,ML,22.6783,-3.9836,60.58,16,100,9.73,overcast clouds
179,Murwara,IN,23.85,80.4,72.72,18,0,9.01,clear sky
180,Guerrero Negro,MX,27.9769,-114.0611,57.51,37,0,1.81,clear sky
181,Bengkulu,ID,-3.8004,102.2655,80.4,76,100,6.51,overcast clouds
182,Yellowknife,CA,62.456,-114.3525,-25.58,81,100,5.75,overcast clouds
183,Kavieng,PG,-2.5744,150.7967,83.66,71,92,8.21,overcast clouds
184,Chokurdakh,RU,70.6333,147.9167,-31.77,100,57,2.06,broken clouds
185,Colquechaca,BO,-18.6667,-66.0167,32.86,84,86,4.25,overcast clouds
186,Shizuishan,CN,39.2333,106.7694,24.94,24,100,4.83,overcast clouds
187,Kodiak,US,57.79,-152.4072,37.96,86,86,16.62,overcast clouds
188,Riyadh,SA,24.6877,46.7219,60.85,31,0,16.11,clear sky
189,Klaksvik,FO,62.2266,-6.589,34.72,72,100,14.0,overcast clouds
190,Kamaishi,JP,39.2667,141.8833,31.15,54,40,13.73,scattered clouds
191,Inuvik,CA,68.3499,-133.7218,-22.79,76,0,3.44,clear sky
192,Rexburg,US,43.826,-111.7897,13.28,98,100,2.39,overcast clouds
193,Leningradskiy,RU,69.3833,178.4167,-19.73,95,37,6.87,scattered clouds
194,Kulhudhuffushi,MV,6.6221,73.07,81.52,64,9,9.31,clear sky
195,Buchanan,LR,5.8808,-10.0467,75.16,91,7,4.9,light rain
196,Luderitz,NA,-26.6481,15.1594,69.22,71,49,5.91,scattered clouds
197,Del Gallego,PH,13.9223,122.5954,80.35,69,64,12.28,broken clouds
198,Kaeo,NZ,-35.1,173.7833,73.33,96,100,8.14,overcast clouds
199,Djambala,CG,-2.5447,14.7533,71.44,82,100,1.72,overcast clouds
200,Pundaguitan,PH,6.3711,126.1689,81.5,77,3,16.46,clear sky
201,Berdigestyakh,RU,62.0989,126.6992,-11.69,97,94,1.43,overcast clouds
